task_id	receipt_hash	status	event_hash
ck-p9-live-promote-r1	2f30d74734954eab00ceee936c9996bc8a0881b55ee7027b2decccd4a0d6a8bc	SEALED	86c994860c7cef848aa4190951e6cd9353358c5a1fa8245b07033469a8aedcbd
ck-p9-live-refuse-r1	b6d0fe2e5b004d67c3eea7ebc2ffb45d4defcd6184ec670f068915792aa884d8	SEALED	aebce260d27cd13f6d19d882f2987c5d74ad2397b120f123374e52d07e612ac9
