request_id	task_id	request_hash	response_hash	result_hash	projection_id	receipt_hash	projection_hash
ck-p9-live-promote-request-r1	ck-p9-live-promote-r1	3c7d6d1bb56f5a3901dbfab9e83a0c1c5fb3d2e9fc8702986f0d5c10daae15ec	d67f70944096a79c427e2086ed3bac723bef071ae3f5d21e70dcaa3eaeeb51f2	0489b0249c3eaa6081cdfa0576d460d583f9c71d9639a65d44cd55cb4438c979	ck-p9-live-promote-r1-projection-r1	2f30d74734954eab00ceee936c9996bc8a0881b55ee7027b2decccd4a0d6a8bc	05038784019e86388554f94e4f6757de96cdc82256d1937f7dc2dc63bd3682d8
ck-p9-live-refuse-request-r1	ck-p9-live-refuse-r1	07e049a9e3552aa5ead493cd728a81d190ddda26c35b77a22d99b3e78665e779	4212a2cc26fe4fd7623ba80b8c9d2444d261c4d252d9be673e065b43ceac35ad	c84d932b66ca0dc749029e8c7970efa626940b447f85ed9f7c57dfb77462bfe3	ck-p9-live-refuse-r1-projection-r1	b6d0fe2e5b004d67c3eea7ebc2ffb45d4defcd6184ec670f068915792aa884d8	ca7529e66618773d5d12594b8e14304183c4db85da2f76891c04d9d0379102ac
